decimals,down_block,pair_tokens,pairs,rdecimals,rsymbol,rtoken,symbol,token,up_block
18,13549360,0,0,0,0,0,DAI,0xb12c13e66AdE1F72f71834f2FC5082Db8C091358,8129074
18,6808626,0,0,18,XDEX,0x47f46484A8D7573e07513B6e6b2BDC4f748Ba294,anyXDEX,0xbbc4A8d076F4B1888fec42581B6fc58d242CF2D5,6810280
6,10003561,0,0,6,HGET,0xC7d8D35EBA58a0935ff2D5a33Df105DD9f071731,anyHGET,0x634398cB81B76bfc75Ebb434cf7C82036F9e7d78,9897726
18,10014516,0,0,18,HYVE,0xF6565A97Dc832d93DC83B75EE9aa5c7e8ecB0F9d,anyHYVE,0x94977c9888F3D2FAfae290d33fAB4a5a598AD764,9981759
18,7887982,0,0,18,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,anyUSDC,0xc8a45dd787a301C38aD33f692f0d41C18590Ef94,7909071
18,7911530,0,0,18,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,anyUSDC,0xaeDdc4A469acE97e90C605e3F52EB89620e305C0,9123291
18,10371034,0,0,0,0,0,MIM,0xfE19F0B51438fd612f6FD59C1dbB3eA319f433Ba,8789672
18,10000056,0,0,18,USDC,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,anyUSDC,0x8965349fb649A33a30cbFDa057D8eC2C48AbE2A2,9999755
18,10008528,0,0,18,DAI,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,anyDAI,0x1282911D3600b202698997f61f46379db3B9f01E,9998114
18,10001379,0,0,18,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,anyETH,0xDebB1d6a2196F2335aD51FBdE7Ca587205889360,9999537
18,10001137,0,0,18,USDT,0x55d398326f99059fF775485246999027B3197955,anyUSDT,0xEDF0c420bc3b92B961C6eC411cc810CA81F5F21a,9999729
2,11802090,0,0,0,0,0,EURS,0x5fE5A66c84c6F8c213503A04f95a417AC6684361,9879931
18,10188423,0,0,18,LPK,0x9B71b5511998e0798625b8Fa74e86D8192DE78C1,anyLPK,0x9833c643f387ecFB76AA8114546AD524703c66Fb,20904044
18,10179771,0,0,18,bKANGAL,0xd632Bd021a07AF70592CE1E18717Ab9aA126DECB,anybKANGAL,0x56501B0B12Ee9518c2991451Bbc8d7F9267949d2,21297815
18,10952047,0,0,18,SNP,0x6911F552842236bd9E8ea8DDBB3fb414e2C5FA9d,anySNP,0xE408849D21646a42fD5E36CC520b26e7cDd62370,21149961
18,10965841,0,0,18,LTY,0x0cBE5C4F318035b866AAcFaf7D018FB4C5F920F3,anyLTY,0x158335C10D3eEe1c5DB5a302aB972022F3E59040,20994874
18,11029128,0,0,18,DMOD,0x002D8563759f5e1EAf8784181F3973288F6856e4,anyDMOD,0x6F1Bc0967945465539877b39ba48373b0219248f,20793624
18,11164061,0,0,0,0,0,MCB,0x5fE80d2CD054645b9419657d3d10d26391780A7B,21334508
18,10504339,0,0,18,MFI,0x808f1350dff684C099F4837A01D863fC61A86BC6,anyMFI,0xa9dd96d15CAdf566CB39e5c3c327C991E6ED1F4E,13838152
18,11284902,0,0,18,IOTX,0x9678E42ceBEb63F23197D726B29b1CB20d0064E5,anyIOTX,0x890fca365e1438B5Adb58a53413c4bf6Cbb1BDE8,14623050
18,11683831,0,0,18,FEAR,0x9Ba6a67a6F3b21705a46B380A1B97373a33da311,anyFEAR,0xd95f99d6e5527eeb35EbA9e024900eE7f8EAEAFc,21245808
18,11688397,0,0,18,CTSI,0x8dA443F84fEA710266C8eB6bC34B71702d033EF2,anyCTSI,0x4B6f0494b08D6F387B392cb9f56539b238de3367,21092939
18,11768104,0,0,0,0,0,nICE,0x8506560320826e459F356CB56cCF721Da8875414,18884251
18,11964787,0,0,18,BGEO,0xc342774492b54ce5F8ac662113ED702Fc1b34972,anyGEO,0x49369aeEE769bd6043726b0CD5F0bD53D843bc32,21329428
9,11966259,0,0,9,EDC,0xA7840988974dd20A78b9F21D95366C46c7637996,anyEDC,0x5Ec0D8751Be5E7b1779430E62B8f61225A947B9c,21290922
18,11966634,0,0,18,ATMSSFT,0xC53C65C4A925039cC149fA99fD011490D40270a3,anyATMSSFT,0xd8485513dd9947aa3287D90Fd3804D3dF52D0Da1,14173460
