decimals,down_block,pair_tokens,pairs,rdecimals,rsymbol,rtoken,symbol,token,up_block
18,12243516,0,0,18,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,0x639A647fbe20b6c8ac19E48E2de44ea792c62c5C,14352390
18,12294986,0,0,18,XDEX,0x000000000000d0151E748d25b766e77efe2A6c83,anyXDEX,0xfA9343C3897324496A05fC75abeD6bAC29f8A40f,12295470
6,12451741,0,0,6,HGET,0x7968bc6a03017eA2de509AAA816F163Db0f35148,anyHGET,0x818ec0A7Fe18Ff94269904fCED6AE3DaE6d6dC0b,15500013
18,12586685,0,0,18,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,anyETH,0xA649325Aa7C5093d12D6F98EB4378deAe68CE23F,12592469
18,12597600,0,0,18,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,anyETH,0x0dCb0CB0120d355CdE1ce56040be57Add0185BAa,13796376
18,12530978,0,0,18,HYVE,0xd794DD1CAda4cf79C9EebaAb8327a1B0507ef7d4,anyHYVE,0x922D641a426DcFFaeF11680e5358F34d97d112E1,13940309
18,12676004,0,0,18,MIM,0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3,anyMIM,0xbbc4A8d076F4B1888fec42581B6fc58d242CF2D5,15529974
6,12740801,0,0,6,USDC,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,anyUSDC,0x7EA2be2df7BA6E54B1A9C70676f668455E329d29,15531953
18,12889550,0,0,18,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,anyDAI,0x739ca6D71365a08f584c8FC4e1029045Fa8ABC4B,15531433
18,12889575,0,0,18,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,anyETH,0xB153FB3d196A8eB25522705560ac152eeEc57901,13984224
6,12926432,0,0,6,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,anyUSDT,0x22648C12acD87912EA1710357B1302c6a4154Ebc,15531895
2,12990625,0,0,2,EURS,0xdB25f211AB05b1c97D595516F45794528a807ad8,anyEURS,0xB72842D6F5feDf91D22d56202802Bb9A79C6322E,15509323
8,13060903,0,0,8,LPK,0x2cc71c048A804Da930e28E93F3211dC03c702995,anyLPK,0x38389eB214C4AC1CDDa7A7582Ab01e8a9bB548bA,15316089
18,13132660,0,0,18,MFI,0xEaDC218Ac4cB7895a5A56e6484646b48f841C45a,anyMFI,0xB0A3dA261BAD3Df3f3cc3a4A337e7e81f6407c49,13886701
18,13011414,0,0,18,KANGAL,0x6E765D26388A17A6e86c49A8E41DF3F58aBcd337,anyKANGAL,0x7F8BC696bEBbbd29255F871cBef55B74e8F10E57,15513387
18,13191327,0,0,18,SPELL,0x090185f2135308BaD17527004364eBcC2D37e5F6,anySPELL,0x4e840AADD28DA189B9906674B4Afcb77C128d9ea,15528726
18,13229789,0,0,18,SNP,0x6911F552842236bd9E8ea8DDBB3fb414e2C5FA9d,anySNP,0x7D09a42045359Aa85488bC07D0ADa83E22d50017,15495953
18,13281811,0,0,18,MCB,0x4e352cF164E64ADCBad318C3a1e222E9EBa4Ce42,anyMCB,0xd1a891E6eCcB7471Ebd6Bc352F57150d4365dB21,15526201
18,13279899,0,0,18,HND,0x10010078a54396F62c96dF8532dc2B4847d47ED3,anyHND,0xc8a45dd787a301C38aD33f692f0d41C18590Ef94,15502913
18,13240786,0,0,18,FIN,0x054f76beED60AB6dBEb23502178C52d6C5dEbE40,anyFIN,0xE3AB61371ECc88534C522922a026f2296116C109,15231652
18,13305486,0,0,18,IOTX,0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,anyIOTX,0xebf1F92D4384118bFb91B4496660a95931c92861,14068795
8,13326067,0,0,8,BCP,0xd26fb114401Ec86887CD09F62eccd95fCf20B571,anyBCP,0x97Cd1CFE2ed5712660bb6c14053C0EcB031Bff7d,13357511
18,13251345,0,0,18,DMOD,0x5f6c5C2fB289dB2228d159C69621215e354218d7,anyDMOD,0xd4143E8dB48a8f73afCDF13D7B3305F28DA38116,15512234
18,13404436,0,0,18,CTSI,0x491604c0FDF08347Dd1fa4Ee062a822A5DD06B5D,anyCTSI,0xe5CF1558A1470cb5C166c2e8651eD0F3c5fb8F42,15463649
18,13401274,0,0,18,FEAR,0x88A9A52F944315D5B4e917b9689e65445C401E83,anyFEAR,0x3BD2dFd03BC7c3011ed7fb8c4d0949B382726cee,15528041
18,13443806,0,0,18,wsOHM,0xCa76543Cf381ebBB277bE79574059e32108e3E65,anywsOHM,0x8e60d469A94E1be77668e8c9c55C498701870762,15421395
9,13445258,0,0,9,DOGIRA,0xD8C1232FcD219286E341271385bd70601503B3D7,anyDOGIRA,0x47536F17F4fF30e64A96a7555826b8f9e66ec468,15522095
18,13237099,0,0,18,LTY,0x85Ffb35957203dfD12061eAeCD708dB623Bd567C,anyLTY,0x5d47bAbA0d66083C52009271faF3F50DCc01023C,15462303
18,13417005,0,0,18,ICE,0xf16e81dce15B08F326220742020379B855B87DF9,anynICE,0x5fCB9de282Af6122ce3518CDe28B7089c9F97b26,15516020
18,13476543,0,0,18,DERC,0x9fa69536d1cda4A04cFB50688294de75B505a9aE,anyDERC,0xc5e509bC8438d4F4ee355282eeb4af92AE14E43a,15527037
18,13534987,0,0,18,GMEE,0xD9016A907Dc0ECfA3ca425ab20B6b785B42F2373,anyGMEE,0xf1b7980826Cd89A99e45eb4236492FD42d463660,15531508
18,13461003,0,0,18,GEO,0x147faF8De9d8D8DAAE129B187F0D02D819126750,anyGEO,0x6B26780e74Cfc64B88c9e1ebc33fFAe29c1679eA,15531033
18,13478797,0,0,18,STND,0x9040e237C3bF18347bb00957Dc22167D0f2b999d,anySTND,0x826Ee16b4B401E84c76b48a2A81545cBb994A995,15506995
18,13557665,0,0,18,SALE,0xF063fE1aB7a291c5d06a86e14730b00BF24cB589,anySALE,0x8323FCF06D58F49533Da60906D731c6a56626Fb2,15527422
18,13555207,0,0,18,SPELL,0x090185f2135308BaD17527004364eBcC2D37e5F6,anysSPELL,0x6b289CCeAA8639e3831095D75A3e43520faBf552,15527699
18,13470991,0,0,18,TUSD,0x0000000000085d4780B73119b644AE5ecd22b376,anyTUSD,0x0bd19f6447cd676255C7C7B00428462B3dA67e3a,14596203
9,13585299,0,0,9,BabyDoge,0xAC57De9C1A09FeC648E93EB98875B212DB0d460B,anyBabyDoge,0x8b92eA35171e29948Cc9e49c52AC8dB0549B7D6B,15522645
18,13620226,0,0,18,FRAX,0x853d955aCEf822Db058eb8505911ED77F175b99e,anyFRAX,0x4f60a160D8C2DDdaAfe16FCC57566dB84D674BD6,15530299
18,13624968,0,0,18,FXS,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0,anyFXS,0x685b63CFE0179b3EFb70A01dCb1D648549AA192d,15527390
18,13555825,0,0,18,LMT,0x327673aE6B33Bd3d90f0096870059994f30Dc8AF,anyLMT,0x937E077aBaEA52d3abf879c9b9d3f2eBd15BAA21,15348105
18,13645933,0,0,18,YIN,0x794Baab6b878467F93EF17e2f2851ce04E3E34C8,anyYIN,0x52DC835D5a36FdF9E6a84603cfEF82298645635C,15462803
18,13582941,0,0,18,KEYFI,0xB8647e90C0645152Fccf4d9AbB6B59Eb4AA99052,anyKEYFI,0xaFb2780CBb58b2AF27023Eb2a0e60c8Ca0eEE9bb,15530230
18,13665554,0,0,9,SQUID,0x21ad647b8F4Fe333212e735bfC1F36B4941E6Ad2,anywsSQUID,0x25A528af62e56512A19ce8c3cAB427807c28CC19,15517819
18,13707200,0,0,18,GCAKE,0x5f944B0c4315Cb7c3a846b025AB4045da44abf6c,anyGCAKE,0x015Cea338Ce68bd912B3c704620C6000eE9F4Ab9,15472291
18,13707229,0,0,18,FTM,0x4E15361FD6b4BB609Fa63C81A2be19d873717870,anyFTM,0xB01371072fDcB9B4433b855e16A682B461F94AB3,15531525
