decimals,down_block,pair_tokens,pairs,rdecimals,rsymbol,rtoken,symbol,token,up_block
6,15158997,0,0,6,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,anyUSDC,0x95bf7E307BC1ab0BA38ae10fc27084bC36FcD605,15189412
6,15192043,0,0,6,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,anyUSDC,0x9610b01AAa57Ec026001F7Ec5CFace51BfEA0bA6,16819939
6,16845627,0,0,6,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,anyUSDC,0xd69b31c3225728CC57ddaf9be532a4ee1620Be51,32534494
18,17232476,0,0,18,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,anyETH,0xbD83010eB60F12112908774998F65761cf9f6f9a,32534119
18,17284740,0,0,18,DAI,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,anyDAI,0x9b17bAADf0f21F03e35249e0e59723F34994F806,32530122
6,17423687,0,0,6,USDT,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,anyUSDT,0xE3eeDa11f06a656FcAee19de663E84C7e61d3Cac,32533754
2,17791417,0,0,0,0,0,EURS,0xbeE994aD257dCC84672c0c6e6168A4701041F39f,17791467
18,17899132,0,0,18,PERI,0xDC0E17eAE3B9651875030244b971fa0223a1764f,anyPERI,0x3b79a28264fC52c7b4CEA90558AA0B162f7Faf57,17899132
18,17908582,0,0,0,0,0,KANGAL,0x34f380a4e3389e99C0369264453523Bbe5aF7faB,32351725
2,18860810,0,0,2,EURS,0xE111178A87A3BFf0c8d18DECBa5798827539Ae99,EURS,0xe26Ae3d881f3d5dEF58D795f611753804E7A6B26,32459511
18,18326228,0,0,18,LPK,0x9B71b5511998e0798625b8Fa74e86D8192DE78C1,anyLPK,0xC789f877FBB6aa4457EE5531cCeB76da6d3D1e3F,32493913
18,19169093,0,0,18,ICE,0x4A81f8796e0c6Ad4877A51C86693B0dE8093F2ef,anyICE,0x03E8D118A1864c7Dc53bf91e007ab7D91f5A06fA,31348496
18,19857541,0,0,18,XDO,0x3Dc7B06dD0B1f08ef9AcBbD2564f8605b4868EEA,anyXDO,0x3D8f74620857dd8ED6D0dA02ceB13fd0Ed8Ba678,28383851
18,20103098,0,0,18,FEAR,0xa2CA40DBe72028D3Ac78B5250a8CB8c404e7Fb8C,anyFEAR,0xbCCFf1c6C1CA650F533D3dcc5F4722aaE6718337,32481280
