token,decimals,symbol
0x6B175474E89094C44Da98b954EedeAC495271d0F,18,DAI
0x639A647fbe20b6c8ac19E48E2de44ea792c62c5C,18,DAI
0x000000000000d0151E748d25b766e77efe2A6c83,18,XDEX
0xfA9343C3897324496A05fC75abeD6bAC29f8A40f,18,XDEX
0x7968bc6a03017eA2de509AAA816F163Db0f35148,6,HGET
0x818ec0A7Fe18Ff94269904fCED6AE3DaE6d6dC0b,6,HGET
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18,WETH
0xA649325Aa7C5093d12D6F98EB4378deAe68CE23F,18,WETH
0x0dCb0CB0120d355CdE1ce56040be57Add0185BAa,18,WETH
0xd794DD1CAda4cf79C9EebaAb8327a1B0507ef7d4,18,HYVE
0x922D641a426DcFFaeF11680e5358F34d97d112E1,18,HYVE
0x99D8a9C45b2ecA8864373A26D1459e3Dff1e17F3,18,MIM
0xbbc4A8d076F4B1888fec42581B6fc58d242CF2D5,18,MIM
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6,USDC
0x7EA2be2df7BA6E54B1A9C70676f668455E329d29,6,USDC
0x739ca6D71365a08f584c8FC4e1029045Fa8ABC4B,18,DAI
0xB153FB3d196A8eB25522705560ac152eeEc57901,18,WETH
0xdAC17F958D2ee523a2206206994597C13D831ec7,6,USDT
0x22648C12acD87912EA1710357B1302c6a4154Ebc,6,USDT
0xdB25f211AB05b1c97D595516F45794528a807ad8,2,EURS
0xB72842D6F5feDf91D22d56202802Bb9A79C6322E,2,EURS
0x2cc71c048A804Da930e28E93F3211dC03c702995,8,LPK
0x38389eB214C4AC1CDDa7A7582Ab01e8a9bB548bA,8,LPK
0xEaDC218Ac4cB7895a5A56e6484646b48f841C45a,18,MFI
0xB0A3dA261BAD3Df3f3cc3a4A337e7e81f6407c49,18,MFI
0x6E765D26388A17A6e86c49A8E41DF3F58aBcd337,18,KANGAL
0x7F8BC696bEBbbd29255F871cBef55B74e8F10E57,18,KANGAL
0x090185f2135308BaD17527004364eBcC2D37e5F6,18,SPELL
0x4e840AADD28DA189B9906674B4Afcb77C128d9ea,18,SPELL
0x6911F552842236bd9E8ea8DDBB3fb414e2C5FA9d,18,SNP
0x7D09a42045359Aa85488bC07D0ADa83E22d50017,18,SNP
0x4e352cF164E64ADCBad318C3a1e222E9EBa4Ce42,18,MCB
0xd1a891E6eCcB7471Ebd6Bc352F57150d4365dB21,18,MCB
0x10010078a54396F62c96dF8532dc2B4847d47ED3,18,HND
0xc8a45dd787a301C38aD33f692f0d41C18590Ef94,18,HND
0x054f76beED60AB6dBEb23502178C52d6C5dEbE40,18,FIN
0xE3AB61371ECc88534C522922a026f2296116C109,18,FIN
0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,18,IOTX
0xebf1F92D4384118bFb91B4496660a95931c92861,18,IOTX
0xd26fb114401Ec86887CD09F62eccd95fCf20B571,8,BCP
0x97Cd1CFE2ed5712660bb6c14053C0EcB031Bff7d,8,BCP
0x5f6c5C2fB289dB2228d159C69621215e354218d7,18,DMOD
0xd4143E8dB48a8f73afCDF13D7B3305F28DA38116,18,DMOD
0x491604c0FDF08347Dd1fa4Ee062a822A5DD06B5D,18,CTSI
0xe5CF1558A1470cb5C166c2e8651eD0F3c5fb8F42,18,CTSI
0x88A9A52F944315D5B4e917b9689e65445C401E83,18,FEAR
0x3BD2dFd03BC7c3011ed7fb8c4d0949B382726cee,18,FEAR
0xCa76543Cf381ebBB277bE79574059e32108e3E65,18,wsOHM
0x8e60d469A94E1be77668e8c9c55C498701870762,18,wsOHM
0xD8C1232FcD219286E341271385bd70601503B3D7,9,DOGIRA
0x47536F17F4fF30e64A96a7555826b8f9e66ec468,9,DOGIRA
0x85Ffb35957203dfD12061eAeCD708dB623Bd567C,18,LTY
0x5d47bAbA0d66083C52009271faF3F50DCc01023C,18,LTY
0xf16e81dce15B08F326220742020379B855B87DF9,18,ICE
0x5fCB9de282Af6122ce3518CDe28B7089c9F97b26,18,ICE
0x9fa69536d1cda4A04cFB50688294de75B505a9aE,18,DERC
0xc5e509bC8438d4F4ee355282eeb4af92AE14E43a,18,DERC
0xD9016A907Dc0ECfA3ca425ab20B6b785B42F2373,18,GMEE
